timestamp,open,high,low,close,volume
2021-03-04,125.0000,147.8699,115.3000,132.3500,32606893
2021-03-03,122.5100,127.7500,113.1200,124.1800,19273882
2021-03-02,116.9300,133.2000,112.2000,118.1800,33783044
2021-03-01,104.5400,133.9900,99.9700,120.4000,49793965
2021-02-26,117.4600,142.9000,86.0000,101.7400,90842694
2021-02-25,169.5600,184.6800,101.0000,108.7300,145443658
2021-02-24,44.7000,91.7100,44.7000,91.7100,48556520
2021-02-23,44.9700,46.2300,40.0000,44.9700,7565215
2021-02-22,46.6900,48.5100,42.4000,46.0000,18864590
2021-02-19,41.2800,43.8900,38.5000,40.5900,14828238
2021-02-18,48.4900,48.8700,40.6500,40.6900,23990555
2021-02-17,49.7700,51.1900,44.5600,45.9400,9147635
2021-02-16,52.6600,53.5000,49.0400,49.5100,8175030
2021-02-12,50.7500,55.2400,48.0500,52.4000,14573264
2021-02-11,50.0100,55.3200,48.2201,51.1000,13056725
2021-02-10,50.7700,62.8300,46.5500,51.2000,35943280
2021-02-09,56.6100,57.0000,46.5200,50.3100,25598598
2021-02-08,72.4100,72.6600,58.0200,60.0000,25687282
2021-02-05,54.0400,95.0000,51.0900,63.7700,81345013
2021-02-04,91.1900,91.5000,53.3300,53.5000,62427275
2021-02-03,112.0100,113.3999,85.2500,92.4100,42698511
2021-02-02,140.7600,158.0000,74.2201,90.0000,76663691
2021-02-01,316.5600,322.0000,212.0000,225.0000,37382152
2021-01-29,379.7100,413.9800,250.0000,325.0000,49414294
2021-01-28,265.0000,483.0000,112.2500,193.6000,58815805
2021-01-27,354.8300,380.0000,249.0000,347.5100,90516825
2021-01-26,88.5600,150.0000,80.2000,147.9800,161894423
2021-01-25,96.7300,159.1800,61.1300,76.7900,177874000
2021-01-22,42.5900,76.7573,42.3200,65.0100,194084194
2021-01-21,39.2300,44.7500,37.0000,43.0300,57079754
2021-01-20,37.3700,41.1899,36.0600,39.1200,33471789
2021-01-19,41.5500,45.5200,36.6400,39.3600,74721924
2021-01-15,38.4900,40.7500,34.0100,35.5000,46866358
2021-01-14,38.0900,43.0600,33.0500,39.9100,93717410
2021-01-13,20.4200,38.6500,20.0300,31.4000,143530129
2021-01-12,19.9600,20.4000,19.3168,19.9500,6999775
2021-01-11,19.4100,20.6500,19.0100,19.9400,14927612
2021-01-08,18.1800,18.3000,17.0800,17.6900,6481960
2021-01-07,18.4700,19.4500,18.0200,18.0800,6129276
2021-01-06,17.3400,18.9800,17.3300,18.3600,6056248
2021-01-05,17.3500,18.0765,17.2300,17.3700,4961457
2021-01-04,19.0000,19.1000,17.1500,17.2500,10022474
2020-12-31,19.2500,19.8000,18.8000,18.8400,6922652
2020-12-30,19.3800,20.0000,18.8500,19.2600,5934391
2020-12-29,20.8200,21.0700,18.5600,19.3800,9241441
2020-12-28,21.3100,21.9700,20.3500,20.9900,8924279
2020-12-24,21.0100,21.4800,19.9500,20.1500,6262174
2020-12-23,20.1700,22.3499,19.1300,20.5700,25830256
2020-12-22,16.2200,20.0400,16.1500,19.4600,30687718
2020-12-21,15.8100,16.3480,15.2800,15.5300,9876128
2020-12-18,15.7800,16.3000,15.1800,15.6300,16618776
2020-12-17,13.9600,14.9800,13.5900,14.8300,8194902
2020-12-16,13.9600,14.3050,13.5800,13.8500,5865123
2020-12-15,12.7800,14.0200,12.4800,13.8500,8192856
2020-12-14,13.3400,13.4335,12.1400,12.7200,10007092
2020-12-11,13.9100,14.0000,13.0200,13.3100,7496868
2020-12-10,13.1200,14.4100,13.0500,14.1200,7558922
2020-12-09,13.9200,14.7300,13.2250,13.6600,24357944
2020-12-08,16.3700,17.2100,15.9300,16.9400,16120163
2020-12-07,17.0000,17.5000,16.2200,16.3500,7386258
2020-12-04,16.3000,17.2900,16.2600,16.9000,8972672
2020-12-03,16.4800,16.6400,15.8700,16.1200,6294965
2020-12-02,15.7000,16.6800,15.3800,16.5800,7883380
2020-12-01,17.1100,17.4000,15.7600,15.8000,12260810
2020-11-30,18.1700,19.4200,16.5575,16.5600,31983498
2020-11-27,15.2900,16.7400,14.8800,16.0800,12504197
2020-11-25,13.6000,15.2500,13.4200,14.7500,8860092
2020-11-24,14.2300,14.2600,13.3000,13.6700,7130536
2020-11-23,12.9000,14.1200,12.6700,13.9000,9607973
2020-11-20,12.5500,13.4600,12.5400,12.7100,8402347
2020-11-19,11.6000,12.7900,11.4500,12.4600,11787613
2020-11-18,11.8000,12.0400,11.5600,11.5700,3169222
2020-11-17,11.6500,11.9200,11.2300,11.6300,6678176
2020-11-16,11.1600,12.6602,10.7200,12.0600,9774824
2020-11-13,11.3600,11.5500,11.0000,11.0100,3546171
2020-11-12,11.7400,11.8700,10.9700,11.1300,4355892
2020-11-11,11.5000,11.9500,11.2100,11.7500,4882569
2020-11-10,11.5000,11.6600,10.8300,11.1000,3825963
2020-11-09,12.7600,12.9300,11.2500,11.4900,6244865
2020-11-06,11.5200,12.1700,11.3200,11.8600,5518243
2020-11-05,11.2700,11.8400,11.0600,11.4500,4705245
2020-11-04,11.7600,11.7699,10.6100,10.9100,5807871
2020-11-03,10.7500,11.8600,10.6300,11.5700,7454472
2020-11-02,10.8200,11.0900,10.5000,10.7500,5227011
2020-10-30,11.6400,11.6400,10.3600,10.4700,11562367
2020-10-29,11.8800,12.2500,11.6801,11.7300,4165843
2020-10-28,12.2700,13.0500,11.7800,11.8200,6388580
2020-10-27,13.7100,13.7100,12.3600,12.6900,7231006
2020-10-26,14.9300,15.4500,13.2600,13.4500,13376269
2020-10-23,15.0500,15.3800,14.5500,15.0000,6507324
2020-10-22,14.2000,15.8700,14.1900,14.9100,16212232
2020-10-21,13.9000,14.4200,13.8000,14.1000,5361928
2020-10-20,14.0300,14.1430,13.6650,13.8600,6603951
2020-10-19,13.4400,14.5000,13.3800,13.9100,13169073
2020-10-16,13.7700,13.9000,13.0800,13.3100,11651578
2020-10-15,11.9900,15.1000,11.9900,13.8300,39894822
2020-10-14,12.6700,12.6800,12.0500,12.2500,10776762
2020-10-13,11.7300,12.4200,11.6500,11.8800,10179708
2020-10-12,11.6600,12.7662,11.4000,11.8000,23655701
2020-10-09,12.8300,14.8000,11.9000,12.0200,77152780
